	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene8199	412	295	660.1	0.4469	69.83	90.91
SpisGene8200	275	276	624.45	0.442	49.82	85.71
SpisGene8201	0	13	46.66	0.2786	0	0
SpisGene8202	0	19	52.26	0.3636	0	0
SpisGene8204	124	298	499.04	0.5971	20.81	87.08
SpisGene8205	168	286	625.12	0.4575	29.37	86.67
SpisGene8206	311	167	300.96	0.5549	93.11	78.95
SpisGene8207	0	627	725.28	0.8645	0	0
SpisGene8208	0	167	212.68	0.7852	0	0
SpisGene8209	11	456	462.98	0.9849	1.21	3.97
SpisGene8210	129	310	449.27	0.69	20.81	14.55
SpisGene8211	0	21	31.56	0.6654	0	0
SpisGene8212	95	176	196.83	0.8942	26.99	38.71
SpisGene8213	274	767	1173.92	0.6534	17.86	80.0
SpisGene8215	216	120	171.13	0.7012	90.0	86.81
SpisGene8216	0	669	1027.14	0.6513	0	0
SpisGene8217	10	33	61.81	0.5339	15.15	55.04
SpisGene8218	447	317	571.63	0.5546	70.5	84.21
SpisGene8219	0	34	50.73	0.6702	0	0
SpisGene8220	171	290	452.72	0.6406	29.48	70.83
SpisGene8221	146	556	680.84	0.8166	13.13	88.89
SpisGene8222	0	369	428.08	0.862	0	0
SpisGene8223	0	100	118.0	0.8475	0	0
SpisGene8224	8	43	44.79	0.96	9.3	3.92
SpisGene8225	0	117	140.56	0.8324	0	0
SpisGene8226	23	70	96.0	0.7292	16.43	7.14
SpisGene8227	15	61	78.36	0.7785	12.3	5.36
SpisGene8228	0	66	58.37	1.1307	0	0
SpisGene8229	0	83	102.54	0.8094	0	0
SpisGene8230	0	63	61.14	1.0304	0	0
SpisGene8231	0	202	213.44	0.9464	0	0
SpisGene8232	0	231	188.79	1.2236	0	0
SpisGene8233	1	41	50.2	0.8167	1.22	0.0
SpisGene8234	0	31	41.04	0.7554	0	0
SpisGene8235	0	50	62.15	0.8045	0	0
SpisGene8236	12	229	240.81	0.951	2.62	10.84
SpisGene8237	24	269	307.25	0.8755	4.46	16.03
SpisGene8238	0	71	67.25	1.0558	0	0
SpisGene8239	0	72	70.2	1.0256	0	0
SpisGene8240	5	18	68.87	0.2614	13.89	5.06
SpisGene8241	0	65	84.56	0.7687	0	0
SpisGene8242	1	71	73.33	0.9682	0.7	9.38
SpisGene8243	6	424	508.48	0.8339	0.71	2.18
SpisGene8244	51	58	90.92	0.6379	43.97	16.0
SpisGene8245	0	41	70.83	0.5789	0	0
SpisGene8246	60	424	503.31	0.8424	7.08	61.25
SpisGene8247	76	96	146.32	0.6561	39.58	88.44
SpisGene8248	18	25	85.81	0.2913	36.0	78.1
SpisGene8249	110	87	185.75	0.4684	63.22	84.81
SpisGene8250	234	501	630.52	0.7946	23.35	71.01
SpisGene8251	0	76	73.34	1.0363	0	0
SpisGene8252	511	405	986.93	0.4104	63.09	84.62
SpisGene8253	4	35	52.23	0.6701	5.71	65.95
SpisGene8254	0	43	54.4	0.7904	0	0
SpisGene8255	56	61	173.35	0.3519	45.9	91.67
SpisGene8256	110	663	737.14	0.8994	8.3	80.62
SpisGene8257	103	1224	1381.21	0.8862	4.21	76.47
SpisGene8258	0	74	151.58	0.4882	0	0
SpisGene8259	0	49	49.66	0.9867	0	0
SpisGene8260	101	421	545.89	0.7712	12.0	82.61
SpisGene8261	59	101	153.8	0.6567	29.21	75.0
SpisGene8262	2	467	501.44	0.9313	0.21	22.5
SpisGene8263	0	124	113.36	1.0939	0	0
SpisGene8264	0	125	158.02	0.791	0	0
SpisGene8265	0	232	260.09	0.892	0	0
SpisGene8266	0	41	40.87	1.0032	0	0
SpisGene8267	0	100	140.98	0.7093	0	0
SpisGene8268	0	73	102.39	0.713	0	0
SpisGene8269	0	198	275.74	0.7181	0	0
SpisGene8270	8	124	171.36	0.7236	3.23	76.39
SpisGene8271	87	770	657.61	1.1709	5.65	57.14
SpisGene8272	0	116	133.69	0.8677	0	0
SpisGene8273	195	190	273.95	0.6936	51.32	5.0
SpisGene8274	0	20	22.21	0.9005	0	0
SpisGene8275	17	49	50.41	0.972	17.35	13.16
SpisGene8276	0	36	43.08	0.8357	0	0
SpisGene8277	0	34	48.3	0.7039	0	0
SpisGene8278	0	72	117.23	0.6142	0	0
SpisGene8279	0	97	102.13	0.9498	0	0
SpisGene8280	6	24	35.75	0.6713	12.5	7.2
SpisGene8281	0	129	156.73	0.8231	0	0
SpisGene8282	0	35	42.6	0.8216	0	0
SpisGene8283	0	29	44.8	0.6473	0	0
SpisGene8284	33	258	227.9	1.1321	6.4	33.33
SpisGene8285	1	155	186.7	0.8302	0.32	8.7
SpisGene8286	0	95	148.63	0.6392	0	0
SpisGene8287	0	99	69.58	1.4228	0	0
SpisGene8288	3	42	62.97	0.667	3.57	52.0
SpisGene8289	0	30	59.38	0.5052	0	0
SpisGene8290	91	68	218.08	0.3118	66.91	90.0
SpisGene8291	108	93	237.75	0.3912	58.06	83.33
SpisGene8292	111	98	239.2	0.4097	56.63	91.67
SpisGene8293	0	106	86.65	1.2233	0	0
SpisGene8294	279	385	734.4	0.5242	36.23	83.33
SpisGene8295	29	19	61.03	0.3113	76.32	76.92
SpisGene8296	110	111	309.21	0.359	49.55	82.84
SpisGene8297	0	233	281.34	0.8282	0	0
SpisGene8298	0	104	106.83	0.9735	0	0
SpisGene8299	0	89	131.75	0.6755	0	0
SpisGene8300	47	54	147.15	0.367	43.52	90.48
SpisGene8301	0	862	962.76	0.8953	0	0
SpisGene8302	0	135	154.5	0.8738	0	0
SpisGene8303	0	262	336.08	0.7796	0	0
SpisGene8304	0	959	970.37	0.9883	0	0
SpisGene8305	112	76	201.87	0.3765	73.68	87.5
SpisGene8306	48	1405	1144.43	1.2277	1.71	15.1
SpisGene8307	0	51	87.8	0.5809	0	0
SpisGene8308	0	167	181.74	0.9189	0	0
SpisGene8309	0	103	103.78	0.9925	0	0
SpisGene8310	115	327	555.24	0.5889	17.58	86.67
SpisGene8311	163	425	625.04	0.68	19.18	92.31
SpisGene8312	0	108	132.35	0.816	0	0
SpisGene8313	0	161	164.25	0.9802	0	0
SpisGene8314	3	111	119.09	0.9321	1.35	5.26
SpisGene8315	77	68	141.83	0.4794	56.62	90.0
SpisGene8316	153	101	230.77	0.4377	75.74	86.67
SpisGene8317	0	127	122.86	1.0337	0	0
SpisGene8318	0	379	382.83	0.99	0	0
SpisGene8319	1	668	746.46	0.8949	0.07	7.41
SpisGene8320	0	166	164.27	1.0105	0	0
SpisGene8321	220	182	330.69	0.5504	60.44	89.47
SpisGene8322	74	133	206.25	0.6448	27.82	48.81
SpisGene8323	233	554	865.16	0.6403	21.03	85.71
SpisGene8324	31	180	249.91	0.7203	8.61	92.31
SpisGene8325	129	358	400.88	0.893	18.02	90.0
SpisGene8326	0	499	667.57	0.7475	0	0
SpisGene8327	2	7	34.42	0.2034	14.29	39.63
SpisGene8328	8	170	241.8	0.7031	2.35	23.08
SpisGene8329	0	372	301.37	1.2344	0	0
SpisGene8330	4	90	99.77	0.9021	2.22	21.21
SpisGene8331	19	39	71.36	0.5465	24.36	13.33
SpisGene8332	78	60	206.27	0.2909	65.0	76.92
SpisGene8333	85	393	531.54	0.7394	10.81	87.5
SpisGene8334	0	60	89.76	0.6684	0	0
SpisGene8335	0	38	84.8	0.4481	0	0
SpisGene8336	42	1862	2009.75	0.9265	1.13	51.67
SpisGene8337	67	110	237.4	0.4634	30.45	89.47
SpisGene8338	235	224	368.19	0.6084	52.46	37.14
SpisGene8339	27	531	609.04	0.8719	2.54	5.48
SpisGene8340	2	55	69.66	0.7895	1.82	19.22
SpisGene8341	0	163	190.82	0.8542	0	0
SpisGene8342	24	160	157.87	1.0135	7.5	16.25
SpisGene8343	5	239	448.64	0.5327	1.05	88.89
SpisGene8344	0	48	143.9	0.3336	0	0
SpisGene8345	5	165	189.9	0.8689	1.52	7.41
SpisGene8346	11	205	269.29	0.7613	2.68	12.28
SpisGene8347	1	7	26.04	0.2688	7.14	13.64
SpisGene8348	4	65	97.7	0.6653	3.08	14.55
SpisGene8349	0	37	61.72	0.5995	0	0
SpisGene8350	0	52	88.37	0.5884	0	0
SpisGene8351	27	27	115.95	0.2329	50.0	73.68
SpisGene8352	73	59	142.19	0.4149	61.86	87.5
SpisGene8353	60	90	150.53	0.5979	33.33	84.81
SpisGene8354	0	798	927.91	0.86	0	0
SpisGene8355	149	457	737.92	0.6193	16.3	63.64
SpisGene8356	153	377	565.89	0.6662	20.29	86.67
SpisGene8357	83	87	192.89	0.451	47.7	82.35
SpisGene8358	49	66	121.78	0.542	37.12	75.0
SpisGene8359	8	17	68.96	0.2465	23.53	52.73
SpisGene8360	44	219	286.09	0.7655	10.05	88.89
SpisGene8361	0	429	518.01	0.8282	0	0
SpisGene8362	0	483	487.47	0.9908	0	0
SpisGene8363	0	926	1054.25	0.8783	0	0
SpisGene8364	9	77	162.26	0.4745	5.84	36.36
SpisGene8365	0	16	85.61	0.1869	0	0
SpisGene8366	86	44	146.28	0.3008	97.73	88.89
SpisGene8367	70	75	138.55	0.5413	46.67	67.54
SpisGene8368	104	64	103.73	0.617	81.25	60.3
SpisGene8369	304	188	272.5	0.6899	80.85	58.33
SpisGene8370	234	137	258.55	0.5299	85.4	50.0
SpisGene8371	69	112	225.29	0.4971	30.8	50.0
SpisGene8372	149	113	208.2	0.5427	65.93	38.46
SpisGene8373	86	69	130.93	0.527	62.32	15.76
SpisGene8374	299	939	1005.08	0.9343	15.92	6.19
SpisGene8375	14	27	77.47	0.3485	25.93	48.77
SpisGene8376	0	189	178.64	1.058	0	0
SpisGene8377	27	63	86.11	0.7316	21.43	88.89
SpisGene8378	17	358	365.53	0.9794	2.37	12.9
SpisGene8379	0	134	209.46	0.6397	0	0
SpisGene8380	38	113	155.11	0.7285	16.81	24.27
SpisGene8381	10	36	78.81	0.4568	13.89	85.16
SpisGene8382	74	84	206.85	0.4061	44.05	60.18
SpisGene8383	10	113	197.32	0.5727	4.42	83.77
SpisGene8384	94	292	435.64	0.6703	16.1	87.5
SpisGene8385	75	102	190.56	0.5353	36.76	81.82
SpisGene8386	120	169	329.17	0.5134	35.5	63.4
SpisGene8387	48	225	340.65	0.6605	10.67	72.38
SpisGene8388	0	166	158.21	1.0492	0	0
SpisGene8389	271	178	635.37	0.2802	76.12	87.5
SpisGene8390	12	25	80.21	0.3117	24.0	88.19
SpisGene8391	70	619	872.58	0.7094	5.65	85.96
SpisGene8392	14	343	382.86	0.8959	2.04	13.94
SpisGene8393	111	129	293.91	0.4389	43.02	88.89
SpisGene8394	161	347	566.08	0.613	23.2	83.33
SpisGene8395	7	122	160.94	0.758	2.87	66.67
SpisGene8396	0	101	95.38	1.0589	0	0
SpisGene8397	97	415	642.71	0.6457	11.69	71.43
SpisGene8398	0	216	192.83	1.1202	0	0
SpisGene8399	0	217	200.49	1.0823	0	0
SpisGene8400	14	294	329.96	0.891	2.38	15.71
SpisGene8401	46	69	144.89	0.4762	33.33	21.78
SpisGene8402	16	100	98.78	1.0124	8.0	3.37
SpisGene8403	0	194	293.01	0.6621	0	0
SpisGene8404	6	221	295.63	0.7476	1.36	6.74
SpisGene8405	36	189	233.52	0.8094	9.52	83.22
SpisGene8406	2	390	447.11	0.8723	0.26	10.73
SpisGene8407	0	41	49.46	0.829	0	0
SpisGene8408	0	126	128.71	0.9789	0	0
SpisGene8409	9	35	73.88	0.4737	12.86	44.44
SpisGene8410	123	650	743.5	0.8742	9.46	80.0
SpisGene8411	0	316	397.93	0.7941	0	0
SpisGene8412	18	264	296.08	0.8917	3.41	10.03
SpisGene8413	0	219	183.34	1.1945	0	0
SpisGene8414	29	272	282.72	0.9621	5.33	65.0
SpisGene8415	0	146	105.84	1.3794	0	0
SpisGene8416	331	500	938.2	0.5329	33.1	80.0
SpisGene8417	650	367	880.88	0.4166	88.56	83.33
SpisGene8418	131	371	655.31	0.5661	17.65	82.35
SpisGene8419	38	179	286.24	0.6253	10.61	74.29
SpisGene8420	40	382	524.38	0.7285	5.24	80.0
SpisGene8421	0	255	396.21	0.6436	0	0
SpisGene8422	37	26	93.46	0.2782	71.15	93.33
SpisGene8423	223	169	428.99	0.3939	65.98	85.71
SpisGene8424	0	198	311.78	0.6351	0	0
SpisGene8425	113	396	565.77	0.6999	14.27	81.25
SpisGene8426	0	79	145.22	0.544	0	0
SpisGene8427	0	161	183.26	0.8785	0	0
SpisGene8428	0	65	70.39	0.9234	0	0
SpisGene8429	0	82	102.3	0.8016	0	0
SpisGene8430	5	184	225.19	0.8171	1.36	18.18
SpisGene8431	0	69	71.19	0.9692	0	0
SpisGene8432	6	202	215.44	0.9376	1.49	46.06
SpisGene8433	0	72	83.05	0.8669	0	0
SpisGene8434	0	115	145.75	0.789	0	0
SpisGene8435	0	48	77.76	0.6173	0	0
SpisGene8436	0	159	199.59	0.7966	0	0
SpisGene8437	0	94	122.76	0.7657	0	0
SpisGene8438	0	175	248.9	0.7031	0	0
SpisGene8439	0	128	190.09	0.6734	0	0
SpisGene8440	5	186	168.93	1.101	1.34	5.26
SpisGene8441	0	191	241.86	0.7897	0	0
SpisGene8442	0	94	103.97	0.9041	0	0
SpisGene8443	0	178	252.76	0.7042	0	0
SpisGene8444	3	402	374.78	1.0726	0.37	4.55
SpisGene8445	0	78	109.49	0.7124	0	0
SpisGene8446	40	46	75.45	0.6097	43.48	83.33
SpisGene8447	0	96	111.66	0.8598	0	0
SpisGene8448	0	336	375.53	0.8947	0	0
SpisGene8449	95	62	283.63	0.2186	76.61	83.33
SpisGene8450	823	834	1111.31	0.7505	49.34	53.33
SpisGene8451	128	77	306.3	0.2514	83.12	83.33
SpisGene8452	55	43	104.24	0.4125	63.95	82.35
SpisGene8453	32	220	320.11	0.6873	7.27	50.0
SpisGene8454	87	162	321.25	0.5043	26.85	85.71
SpisGene8455	103	134	258.31	0.5188	38.43	92.31
SpisGene8456	0	369	430.75	0.8566	0	0
SpisGene8457	12	674	747.32	0.9019	0.89	10.42
SpisGene8458	92	149	207.48	0.7181	30.87	86.67
SpisGene8459	163	111	368.74	0.301	73.42	88.24
SpisGene8460	17	41	91.9	0.4461	20.73	85.71
SpisGene8461	8	32	43.24	0.7401	12.5	38.1
SpisGene8462	1	107	135.38	0.7904	0.47	11.11
SpisGene8463	133	87	208.37	0.4175	76.44	83.33
SpisGene8464	204	401	898.73	0.4462	25.44	85.71
SpisGene8465	0	152	212.84	0.7142	0	0
SpisGene8466	1	37	43.98	0.8413	1.35	10.53
SpisGene8467	18	138	134.57	1.0255	6.52	48.07
SpisGene8468	5	94	108.58	0.8657	2.66	3.82
SpisGene8469	0	66	85.95	0.7679	0	0
SpisGene8470	0	33	52.78	0.6252	0	0
SpisGene8471	34	99	93.05	1.0639	17.17	10.6
SpisGene8472	2	770	778.19	0.9895	0.13	4.17
SpisGene8473	305	1155	2194.33	0.5264	13.2	82.35
SpisGene8474	92	222	339.15	0.6546	20.72	80.0
SpisGene8475	22	53	110.54	0.4795	20.75	91.29
SpisGene8476	89	213	359.8	0.592	20.89	83.33
SpisGene8477	6	272	305.28	0.891	1.1	6.67
SpisGene8478	56	125	224.14	0.5577	22.4	82.09
SpisGene8479	72	202	308.18	0.6555	17.82	81.29
SpisGene8480	100	147	325.54	0.4516	34.01	77.78
SpisGene8481	27	47	99.24	0.4736	28.72	46.15
SpisGene8482	134	72	276.4	0.2605	93.06	84.81
SpisGene8483	334	205	538.2	0.3809	81.46	88.12
SpisGene8484	84	67	151.23	0.443	62.69	40.0
SpisGene8485	72	78	295.86	0.2636	46.15	89.83
SpisGene8486	214	384	556.42	0.6901	27.86	82.35
SpisGene8487	161	132	326.13	0.4047	60.98	88.89
SpisGene8488	0	162	146.78	1.1037	0	0
SpisGene8489	18	487	486.98	1.0	1.85	12.5
SpisGene8490	0	53	42.89	1.2357	0	0
SpisGene8491	0	89	92.32	0.964	0	0
SpisGene8492	0	217	218.61	0.9926	0	0
SpisGene8493	82	141	296.74	0.4752	29.08	85.71
SpisGene8494	75	51	113.89	0.4478	73.53	92.31
SpisGene8495	30	38	91.58	0.4149	39.47	84.52
SpisGene8496	117	206	348.06	0.5919	28.4	58.33
SpisGene8497	147	165	250.94	0.6575	44.55	85.71
SpisGene8498	53	431	584.52	0.7374	6.15	87.5
SpisGene8499	64	163	203.36	0.8015	19.63	83.33
SpisGene8500	16	129	192.91	0.6687	6.2	79.0
SpisGene8501	2	215	217.98	0.9863	0.47	9.43
SpisGene8502	0	310	351.59	0.8817	0	0
SpisGene8503	4	22	32.05	0.6864	9.09	43.09
SpisGene8504	13	376	416.21	0.9034	1.73	78.57
SpisGene8505	102	71	207.29	0.3425	71.83	88.56
SpisGene8506	80	559	697.14	0.8018	7.16	85.71
SpisGene8507	22	519	572.19	0.907	2.12	17.2
SpisGene8508	6	19	51.1	0.3718	15.79	74.72
SpisGene8509	27	150	166.29	0.902	9.0	24.14
SpisGene8510	2	547	553.44	0.9884	0.18	12.44
SpisGene8511	0	171	182.46	0.9372	0	0
SpisGene8512	38	357	421.85	0.8463	5.32	53.85
SpisGene8513	90	246	358.83	0.6856	18.29	78.76
SpisGene8514	22	24	85.92	0.2793	45.83	89.74
SpisGene8515	45	41	126.39	0.3244	54.88	88.89
SpisGene8516	44	22	82.08	0.268	100.0	88.89
SpisGene8517	49	56	116.29	0.4816	43.75	77.78
SpisGene8518	99	115	176.3	0.6523	43.04	87.5
SpisGene8519	223	459	662.49	0.6928	24.29	85.71
SpisGene8520	19	13	40.43	0.3215	73.08	83.33
SpisGene8521	8	33	75.42	0.4375	12.12	89.9
SpisGene8522	17	14	114.52	0.1222	60.71	41.67
SpisGene8523	24	51	74.77	0.6821	23.53	79.29
SpisGene8524	44	62	121.43	0.5106	35.48	56.45
SpisGene8525	4	315	337.71	0.9328	0.63	0.0
SpisGene8526	0	154	153.79	1.0014	0	0
SpisGene8527	0	67	52.01	1.2882	0	0
SpisGene8528	129	452	464.13	0.9739	14.27	4.9
SpisGene8529	297	290	392.45	0.7389	51.21	33.72
SpisGene8530	0	30	95.66	0.3136	0	0
SpisGene8531	66	57	141.53	0.4027	57.89	51.47
SpisGene8532	0	52	70.08	0.742	0	0
SpisGene8533	66	58	167.46	0.3464	56.9	90.24
SpisGene8534	238	149	561.18	0.2655	79.87	86.81
SpisGene8535	78	382	498.19	0.7668	10.21	84.62
SpisGene8536	4	155	145.95	1.062	1.29	56.33
SpisGene8537	311	238	648.19	0.3672	65.34	86.67
SpisGene8538	0	45	65.92	0.6826	0	0
SpisGene8539	260	478	803.03	0.5952	27.2	88.89
SpisGene8540	0	58	79.09	0.7333	0	0
SpisGene8541	1	1067	1221.53	0.8735	0.05	4.33
SpisGene8542	89	410	581.08	0.7056	10.85	77.78
SpisGene8543	123	698	798.73	0.8739	8.81	63.16
SpisGene8544	0	72	76.57	0.9403	0	0
SpisGene8545	38	1094	1188.04	0.9208	1.74	53.59
SpisGene8546	0	314	316.13	0.9933	0	0
SpisGene8547	26	61	78.01	0.782	21.31	27.16
SpisGene8548	24	14	64.01	0.2187	85.71	93.03
SpisGene8549	0	51	81.99	0.622	0	0
SpisGene8550	0	145	159.99	0.9063	0	0
SpisGene8551	0	239	266.31	0.8975	0	0
SpisGene8552	0	279	326.43	0.8547	0	0
SpisGene8553	150	120	295.25	0.4064	62.5	77.78
SpisGene8554	145	282	520.21	0.5421	25.71	65.52
SpisGene8555	0	371	430.0	0.8628	0	0
SpisGene8556	0	200	237.27	0.8429	0	0
SpisGene8557	3	405	502.14	0.8065	0.37	0.0
SpisGene8558	2	253	244.33	1.0355	0.4	13.7
SpisGene8559	0	179	238.44	0.7507	0	0
SpisGene8560	0	245	295.28	0.8297	0	0
SpisGene8561	56	68	153.52	0.4429	41.18	90.45
SpisGene8562	72	63	182.56	0.3451	57.14	83.33
SpisGene8563	50	56	144.31	0.3881	44.64	88.56
SpisGene8564	0	32	77.01	0.4155	0	0
SpisGene8565	3	648	613.06	1.057	0.23	8.7
SpisGene8566	0	33	73.58	0.4485	0	0
SpisGene8567	2	65	80.54	0.8071	1.54	11.14
SpisGene8568	0	27	40.86	0.6608	0	0
SpisGene8569	0	129	173.72	0.7426	0	0
SpisGene8570	2	61	92.63	0.6585	1.64	4.01
SpisGene8571	0	502	416.65	1.2048	0	0
SpisGene8572	0	73	89.53	0.8154	0	0
SpisGene8573	45	57	74.76	0.7624	39.47	30.77
SpisGene8574	33	349	439.02	0.795	4.73	50.0
SpisGene8575	0	171	172.18	0.9931	0	0
SpisGene8576	304	285	829.08	0.3438	53.33	87.5
SpisGene8577	47	135	247.23	0.5461	17.41	66.67
SpisGene8578	252	2734	3197.24	0.8551	4.61	26.67
SpisGene8579	14	2097	2018.05	1.0391	0.33	20.87
SpisGene8580	0	239	307.06	0.7783	0	0
SpisGene8581	3	858	1086.1	0.79	0.17	0.0
SpisGene8582	38	26	78.91	0.3295	73.08	84.62
SpisGene8583	49	41	99.93	0.4103	59.76	77.78
SpisGene8584	10	123	64.68	1.9017	4.07	5.45
SpisGene8585	247	186	561.61	0.3312	66.4	87.5
SpisGene8586	141	358	575.9	0.6216	19.69	88.89
SpisGene8587	126	87	175.01	0.4971	72.41	86.81
SpisGene8588	11	330	353.14	0.9345	1.67	15.22
SpisGene8589	0	81	87.3	0.9278	0	0
SpisGene8590	0	15	35.55	0.4219	0	0
SpisGene8591	0	68	46.67	1.457	0	0
SpisGene8592	0	212	233.68	0.9072	0	0
SpisGene8593	0	66	70.86	0.9314	0	0
SpisGene8594	0	302	307.5	0.9821	0	0
SpisGene8595	32	68	135.11	0.5033	23.53	90.45
SpisGene8596	64	537	692.14	0.7759	5.96	83.33
SpisGene8597	0	347	357.4	0.9709	0	0
SpisGene8598	0	83	77.96	1.0646	0	0
SpisGene8599	37	41	87.65	0.4678	45.12	83.33
SpisGene8600	90	262	417.2	0.628	17.18	84.41
SpisGene8601	151	415	560.37	0.7406	18.19	73.68
SpisGene8602	0	50	60.66	0.8243	0	0
SpisGene8603	26	231	262.98	0.8784	5.63	30.0
SpisGene8604	132	98	234.98	0.4171	67.35	87.08
SpisGene8605	74	340	489.23	0.695	10.88	74.17
SpisGene8606	0	301	299.53	1.0049	0	0
SpisGene8607	113	144	287.82	0.5003	39.24	40.91
SpisGene8608	0	101	114.46	0.8824	0	0
SpisGene8609	2	110	139.32	0.7895	0.91	14.95
SpisGene8610	135	371	493.32	0.752	18.19	80.0
SpisGene8611	0	80	100.37	0.7971	0	0
SpisGene8612	0	122	140.66	0.8673	0	0
SpisGene8613	0	118	135.5	0.8708	0	0
SpisGene8614	41	673	829.25	0.8116	3.05	80.0
SpisGene8615	62	313	438.94	0.7131	9.9	87.08
SpisGene8616	83	74	132.81	0.5572	56.08	85.71
SpisGene8617	0	138	137.02	1.0072	0	0
SpisGene8618	59	535	678.6	0.7884	5.51	76.92
SpisGene8619	0	200	217.82	0.9182	0	0
SpisGene8620	58	79	179.97	0.439	36.71	86.52
SpisGene8621	0	40	43.03	0.9296	0	0
SpisGene8622	4	1401	1533.31	0.9137	0.14	25.66
SpisGene8623	64	84	168.41	0.4988	38.1	86.19
SpisGene8624	97	225	286.27	0.786	21.56	83.33
SpisGene8625	17	340	407.11	0.8352	2.5	66.67
SpisGene8626	31	299	402.46	0.7429	5.18	90.48
SpisGene8627	48	160	186.03	0.8601	15.0	82.35
SpisGene8628	0	76	81.05	0.9377	0	0
SpisGene8629	61	385	521.7	0.738	7.92	84.62
SpisGene8630	22	41	104.53	0.3922	26.83	42.26
SpisGene8631	20	42	67.14	0.6256	23.81	90.24
SpisGene8632	0	71	80.16	0.8857	0	0
SpisGene8633	2	11	29.59	0.3717	9.09	36.11
SpisGene8634	92	209	171.24	1.2205	22.01	10.53
SpisGene8635	69	531	678.08	0.7831	6.5	75.0
SpisGene8636	95	447	617.34	0.7241	10.63	80.0
SpisGene8637	0	61	78.63	0.7758	0	0
SpisGene8638	57	85	167.65	0.507	33.53	37.5
SpisGene8639	4	139	129.46	1.0737	1.44	27.13
SpisGene8640	44	151	216.04	0.6989	14.57	87.45
SpisGene8641	103	153	299.93	0.5101	33.66	85.71
SpisGene8642	0	339	421.57	0.8041	0	0
SpisGene8643	56	45	124.08	0.3627	62.22	66.67
SpisGene8644	143	111	484.21	0.2292	64.41	91.67
SpisGene8645	20	206	285.98	0.7203	4.85	90.69
SpisGene8646	0	140	144.82	0.9667	0	0
SpisGene8647	0	162	261.68	0.6191	0	0
SpisGene8648	0	231	275.84	0.8374	0	0
SpisGene8649	8	6	56.42	0.1063	66.67	23.01
SpisGene8650	12	83	109.74	0.7563	7.23	12.34
SpisGene8651	0	44	55.2	0.7971	0	0
SpisGene8652	0	132	173.88	0.7591	0	0
SpisGene8653	0	142	175.64	0.8085	0	0
SpisGene8654	26	118	215.07	0.5487	11.02	60.77
SpisGene8655	48	251	368.24	0.6816	9.56	22.61
SpisGene8656	16	26	106.36	0.2445	30.77	29.4
SpisGene8657	4	450	708.68	0.635	0.44	69.23
SpisGene8658	105	1234	1761.02	0.7007	4.25	85.71
SpisGene8659	0	159	156.06	1.0188	0	0
SpisGene8660	33	116	248.84	0.4662	14.22	85.71
SpisGene8661	22	53	100.98	0.5249	20.75	87.08
SpisGene8662	195	131	328.4	0.3989	74.43	86.67
SpisGene8663	106	74	161.84	0.4572	71.62	87.5
SpisGene8664	12	346	313.2	1.1047	1.73	17.8
SpisGene8665	105	256	505.76	0.5062	20.51	90.0
SpisGene8666	137	120	304.82	0.3937	57.08	47.06
SpisGene8667	14	55	83.74	0.6568	12.73	62.83
SpisGene8668	57	142	282.49	0.5027	20.07	38.71
SpisGene8669	13	107	98.06	1.0912	6.07	23.08
SpisGene8670	7	17	57.05	0.298	20.59	30.0
SpisGene8671	231	146	185.66	0.7864	79.11	58.82
SpisGene8672	77	62	103.18	0.6009	62.1	46.15
SpisGene8673	22	11	35.85	0.3068	100.0	63.64
SpisGene8674	61	234	359.14	0.6516	13.03	5.26
SpisGene8675	50	133	256.44	0.5186	18.8	12.7
SpisGene8676	0	266	345.13	0.7707	0	0
SpisGene8677	0	66	178.95	0.3688	0	0
SpisGene8678	144	389	587.94	0.6616	18.51	56.39
SpisGene8679	0	92	101.73	0.9044	0	0
SpisGene8680	64	83	212.31	0.3909	38.55	90.45
SpisGene8681	54	314	346.53	0.9061	8.6	62.91
SpisGene8682	0	158	166.59	0.9484	0	0
SpisGene8683	0	36	44.8	0.8036	0	0
SpisGene8684	132	300	625.6	0.4795	22.0	84.61
SpisGene8685	0	246	292.46	0.8411	0	0
SpisGene8687	9	337	395.44	0.8522	1.34	7.69
SpisGene8688	0	130	135.63	0.9585	0	0
SpisGene8689	16	56	111.71	0.5013	14.29	87.86
SpisGene8690	0	58	69.94	0.8293	0	0
SpisGene8691	110	267	300.43	0.8887	20.6	75.0
SpisGene8692	30	1676	1729.29	0.9692	0.89	15.44
SpisGene8693	60	53	147.89	0.3584	56.6	88.56
SpisGene8694	124	109	228.84	0.4763	56.88	84.81
SpisGene8695	54	29	100.17	0.2895	93.1	83.77
SpisGene8696	0	131	132.59	0.988	0	0
SpisGene8697	0	215	241.79	0.8892	0	0
SpisGene8698	0	395	437.37	0.9031	0	0
SpisGene8699	0	116	112.27	1.0332	0	0
SpisGene8700	0	560	399.16	1.4029	0	0
SpisGene8701	168	154	508.45	0.3029	54.55	83.33
SpisGene8702	147	117	227.5	0.5143	62.82	88.89
SpisGene8703	189	202	409.25	0.4936	46.78	85.71
SpisGene8704	97	170	325.43	0.5224	28.53	84.21
SpisGene8705	53	88	203.82	0.4318	30.11	84.21
SpisGene8706	0	18	25.56	0.7042	0	0
SpisGene8707	18	86	168.08	0.5117	10.47	55.56
SpisGene8708	84	370	582.97	0.6347	11.35	85.71
